iter	Logloss
0	0.6920627556
1	0.6909426829
2	0.6895595506
3	0.6883337588
4	0.6870594663
5	0.6857794155
6	0.6843674325
7	0.683398655
8	0.6822098399
9	0.6811669561
10	0.6802932756
11	0.6795992432
12	0.678816812
13	0.6781170264
14	0.6773499197
15	0.6764630945
16	0.6760021339
17	0.6750760385
18	0.6742853286
19	0.6736966949
20	0.673328628
21	0.6726208096
22	0.6720183143
23	0.6709761429
24	0.6700989351
25	0.6694449265
26	0.6685514755
27	0.6677306342
28	0.6666160542
29	0.6659700745
30	0.665108273
31	0.6643459447
32	0.6638020844
33	0.6633797449
34	0.6625445669
35	0.6619278124
36	0.6613474373
37	0.6606707251
38	0.6600834502
39	0.6591487778
40	0.6587259736
41	0.6582344576
42	0.657714935
43	0.6574410715
44	0.656837081
45	0.6562913819
46	0.6560625252
47	0.6557362644
48	0.6551169978
49	0.6546430012
50	0.654065321
51	0.6536639585
52	0.6531621649
53	0.652772333
54	0.6523485945
55	0.651763265
56	0.6512658181
57	0.6508639605
58	0.650088032
59	0.649585675
60	0.6491759198
61	0.6486458269
62	0.6481874515
63	0.6475179619
64	0.6471633226
65	0.6470323991
66	0.6464909435
67	0.646152451
68	0.6456514297
69	0.6453077658
70	0.6447381124
71	0.6443033625
72	0.643917451
73	0.6435024626
74	0.6431791673
75	0.6427322457
76	0.6425956133
77	0.6420160233
78	0.6417014726
79	0.6411781046
80	0.6408372834
81	0.6404072064
82	0.6403455298
83	0.6398549464
84	0.6394603332
85	0.6386726933
86	0.6384536886
87	0.6382588092
88	0.6378451188
89	0.6374812512
90	0.6369300245
91	0.6365768073
92	0.636163394
93	0.6358001062
94	0.6354792595
95	0.635042597
96	0.6346510422
97	0.634265518
98	0.6338055667
99	0.6332451613
100	0.6331404257
101	0.6328741751
102	0.6324423548
103	0.6319238707
104	0.6316078681
105	0.6310986976
106	0.6306997384
107	0.6302148489
108	0.6298742964
109	0.6296413803
110	0.6293038762
111	0.6290445276
112	0.6286378382
113	0.6281525391
114	0.6277499603
115	0.6274657445
116	0.6271501927
117	0.626868866
118	0.6265708246
119	0.6261538341
120	0.6256584472
121	0.62525137
122	0.6250723779
123	0.6246937163
124	0.6242336386
125	0.6238100181
126	0.6232340958
127	0.6228002709
128	0.622460741
129	0.6220528861
130	0.6216454724
131	0.6213186566
132	0.621036468
133	0.6208609077
134	0.6207511571
135	0.6204071379
136	0.6200087667
137	0.6197693084
138	0.6194119551
139	0.6190314192
140	0.6188009102
141	0.6185452683
142	0.6181451684
143	0.6178484053
144	0.6172751305
145	0.6169448227
146	0.6166526643
147	0.6162959318
148	0.6159987426
149	0.6155754495
150	0.6152110583
151	0.6148052303
152	0.6145611355
153	0.6142054944
154	0.6138852383
155	0.613602022
156	0.6132489945
157	0.6130746738
158	0.6128814463
159	0.6124852968
160	0.6123593625
161	0.6121425212
162	0.6118280071
163	0.6115731036
164	0.611267108
165	0.6109839325
166	0.6106261211
167	0.6101662935
168	0.6097758794
169	0.6094599438
170	0.609232512
171	0.6088374146
172	0.6082894546
173	0.6077687762
174	0.6074862727
175	0.6072076805
176	0.6069549019
177	0.6067140236
178	0.6063837539
179	0.6062222776
180	0.605873667
181	0.6056626654
182	0.6054225077
183	0.6050958305
184	0.6048591389
185	0.6044984694
186	0.6042276196
187	0.6038135257
188	0.6034264029
189	0.6029958286
190	0.6026460234
191	0.6023423091
192	0.6019859764
193	0.6015477038
194	0.6012087315
195	0.6009102553
196	0.6005505589
197	0.6004190657
198	0.6002897489
199	0.5998148326
200	0.5995975114
201	0.5994016044
202	0.599081003
203	0.5987597361
204	0.5985461719
205	0.5981581753
206	0.5979557329
207	0.5975810222
208	0.597272212
209	0.5969144885
210	0.5966392987
211	0.5963440105
212	0.5958717723
213	0.5954696607
214	0.5951653988
215	0.5949682634
216	0.5949685028
217	0.5946311841
218	0.5943818814
219	0.5940779378
220	0.5938247752
221	0.5936403981
222	0.5936166485
223	0.5932682129
224	0.5929989743
225	0.5928259731
226	0.5925786416
227	0.5924004149
228	0.5921877656
229	0.5920331608
230	0.5918154476
231	0.5915306947
232	0.5913079709
233	0.5910942622
234	0.5908583845
235	0.5907237262
236	0.5904294388
237	0.590250451
238	0.5899980129
239	0.5897243664
240	0.5894448981
241	0.5892097048
242	0.5887947801
243	0.5884447158
244	0.5881733992
245	0.5878239746
246	0.5875727635
247	0.5872383601
248	0.5868228267
249	0.5864152166
250	0.5862362717
251	0.5858945843
252	0.585624161
253	0.585434565
254	0.5851788169
255	0.5849839065
256	0.5844696195
257	0.584274926
258	0.5839438957
259	0.5836836066
260	0.5834813481
261	0.5832590776
262	0.5830334309
263	0.5828573526
264	0.5827154571
265	0.5823637488
266	0.5822256453
267	0.5817847929
268	0.5814522971
269	0.58125044
270	0.5809689698
271	0.5805864908
272	0.5804043042
273	0.5801983058
274	0.5799029295
275	0.5796977579
276	0.5795195754
277	0.5792239714
278	0.5788505124
279	0.5787189599
280	0.5784426175
281	0.5781841369
282	0.5780152252
283	0.5777095215
284	0.57756901
285	0.5773977531
286	0.5771164447
287	0.5767372314
288	0.5764607432
289	0.5762397293
290	0.5762392266
291	0.5759771036
292	0.5755814495
293	0.5753566562
294	0.5750710367
295	0.5749083565
296	0.5747329631
297	0.574386463
298	0.5740951655
299	0.5737479958
300	0.5735000208
301	0.5733926953
302	0.5730333133
303	0.5728386307
304	0.5728219143
305	0.57259631
306	0.5723374343
307	0.5720913011
308	0.5718959262
309	0.5716871565
310	0.5714775691
311	0.5712968322
312	0.5710109055
313	0.5708745386
314	0.5707135368
315	0.570556576
316	0.5703997274
317	0.5700243834
318	0.5697295962
319	0.5694476855
320	0.5692223438
321	0.5689811603
322	0.5686383767
323	0.5684125966
324	0.5682838012
325	0.5679935533
326	0.5678097478
327	0.5675857165
328	0.5673329705
329	0.5670810454
330	0.5669378305
331	0.5666823684
332	0.5665634947
333	0.5662596593
334	0.565993086
335	0.5655813363
336	0.5654195338
337	0.565066049
338	0.5645557554
339	0.5642600741
340	0.5639052409
341	0.5636019875
342	0.5633876121
343	0.563175409
344	0.5629269402
345	0.5629271075
346	0.5627125361
347	0.5624288332
348	0.5621801272
349	0.5619765447
350	0.5617703838
351	0.5617469986
352	0.5614922851
353	0.5612849863
354	0.5611495705
355	0.5607097112
356	0.5604407378
357	0.5601277318
358	0.5599874953
359	0.5598551619
360	0.5596556809
361	0.559373028
