iter	Passed	Remaining
0	46	46843
1	47	23806
2	48	16056
3	48	12168
4	49	9847
5	50	8291
6	51	7252
7	51	6432
8	52	5777
9	53	5254
10	53	4822
11	54	4454
12	54	4152
13	55	3892
14	55	3665
15	56	3469
16	56	3284
17	57	3133
18	58	2999
19	58	2877
20	59	2754
21	59	2654
22	60	2557
23	60	2472
24	61	2391
25	61	2319
26	62	2252
27	63	2192
28	63	2134
29	64	2080
30	64	2031
31	65	1983
32	66	1939
33	66	1897
34	67	1857
35	67	1818
36	68	1783
37	69	1749
38	69	1716
39	70	1697
40	71	1673
41	72	1645
42	72	1618
43	73	1590
44	73	1566
45	74	1542
46	74	1516
47	75	1494
48	75	1473
49	76	1453
50	77	1435
51	77	1417
52	78	1400
53	78	1383
54	79	1366
55	80	1350
56	80	1335
57	81	1319
58	81	1304
59	82	1291
60	82	1277
61	83	1264
62	84	1251
63	84	1240
64	85	1227
65	85	1212
66	86	1201
67	86	1190
68	87	1180
69	88	1170
70	88	1159
71	89	1150
72	89	1140
73	90	1131
74	91	1122
75	91	1114
76	92	1104
77	92	1096
78	93	1088
79	93	1080
80	94	1073
81	95	1065
82	95	1055
83	96	1048
84	96	1041
85	97	1035
86	98	1028
87	98	1020
88	99	1014
89	99	1007
90	100	1001
91	100	995
92	101	989
93	102	983
94	102	977
95	103	971
96	103	966
97	104	961
98	105	955
99	105	950
100	106	944
101	106	939
102	107	935
103	107	930
104	108	926
105	109	921
106	109	916
107	111	916
108	111	912
109	112	908
110	112	904
111	113	900
112	114	896
113	114	892
114	115	888
115	116	884
116	116	880
117	117	876
118	117	873
119	118	869
120	119	866
121	119	863
122	120	860
123	121	857
124	122	855
125	122	853
126	123	850
127	124	848
128	125	846
129	126	848
130	127	846
131	128	844
132	129	842
133	129	839
134	130	836
135	131	834
136	132	832
137	132	830
138	133	828
139	134	825
140	135	823
141	135	821
142	136	818
143	137	816
144	138	815
145	139	813
146	139	811
147	140	808
148	141	806
149	141	803
150	142	801
151	143	798
152	143	795
153	144	793
154	145	790
155	145	787
156	146	785
157	147	783
158	147	780
159	148	778
160	148	776
161	149	773
162	150	771
163	150	768
164	151	765
165	151	763
166	152	760
167	153	758
168	153	756
169	154	753
170	155	752
171	155	749
172	156	747
173	156	744
174	157	742
175	158	739
176	158	737
177	159	735
178	159	733
179	160	731
180	161	728
181	161	726
182	162	724
183	162	722
184	163	720
185	164	718
186	164	716
187	165	714
188	166	715
189	167	714
190	168	712
191	169	711
192	169	709
193	170	707
194	170	705
195	171	703
196	172	701
197	172	699
198	173	697
199	173	695
200	174	693
201	175	691
202	175	689
203	176	687
204	176	686
205	177	684
206	178	683
207	179	681
208	179	680
209	180	678
210	181	677
211	181	676
212	182	674
213	183	673
214	183	671
215	184	670
216	185	667
217	185	666
218	186	665
219	187	663
220	187	662
221	188	661
222	189	658
223	189	657
224	190	656
225	191	654
226	191	653
227	192	652
228	193	650
229	193	649
230	194	647
231	195	646
232	196	645
233	196	643
234	197	642
235	197	640
236	198	639
237	199	638
238	200	636
239	200	635
240	201	633
241	201	632
242	202	630
243	203	629
244	203	627
245	204	626
246	204	624
247	205	623
248	206	622
249	207	621
250	207	619
251	208	618
252	208	617
253	209	615
254	210	614
255	210	612
256	211	611
257	212	610
258	212	608
259	213	607
260	214	606
261	214	604
262	215	603
263	216	602
264	216	601
265	217	599
266	217	598
267	218	596
268	219	595
269	219	594
270	220	593
271	221	591
272	221	590
273	222	589
274	222	587
275	223	586
276	224	585
277	225	584
278	225	583
279	226	582
280	227	581
281	227	580
